label,centroid-0,centroid-1,area,bbox-0,bbox-1,bbox-2,bbox-3,equivalent_diameter_area,extent,solidity,axis_major_length,axis_minor_length,eccentricity,orientation,bbox_y_length,bbox_x_length
1,101.11176470588235,349.78137254901964,1020.0,86,330,116,370,36.03754064347158,0.85,0.9855072463768116,42.19859604847002,31.00575752669336,0.6783292928238043,-1.316142137844206,30,40
2,113.15517970401692,414.6093023255814,2365.0,87,387,144,442,54.87450704378728,0.7543859649122807,0.9467574059247398,60.74284347768925,50.83151577510968,0.5474607655994419,-0.5066457301783311,57,55
3,111.84946236559139,263.98044965786903,1023.0,99,235,126,291,36.09049811604256,0.6765873015873016,0.9101423487544484,60.83881585213413,22.23508077889899,0.9308210620196115,-1.3780188957276798,27,56
4,118.73526370217166,484.2399172699069,967.0,103,464,137,501,35.088782249586586,0.7686804451510334,0.9612326043737575,41.187958325221146,30.919047941790406,0.6606640110278449,0.9386892409994949,34,37
5,132.99620060790272,524.1231003039513,2632.0,104,499,165,552,57.88926050437117,0.814104546860501,0.9389939350695683,64.33105674269773,54.384945494766384,0.534146764982961,-0.09702566349035617,61,53
6,132.1764705882353,281.69747899159665,119.0,126,276,140,290,12.309163489997376,0.6071428571428571,0.9015151515151515,16.84596084691046,9.389728231760198,0.8302524673917937,-0.8293800208073157,14,14
7,135.56241032998565,311.4332855093257,697.0,118,298,152,325,29.790064831759068,0.7592592592592593,0.973463687150838,35.230032709075914,25.349373658086318,0.6944522941690756,-0.4511267742555932,34,27
8,140.21748714180748,189.46142542248347,1361.0,117,168,164,213,41.62786350972815,0.6434988179669031,0.8912901113294041,45.96214065266045,40.27353271372149,0.48188813528526414,0.14068553854677698,47,45
9,138.40263157894736,587.8614035087719,1140.0,121,566,155,614,38.09846559899868,0.6985294117647058,0.9359605911330049,47.45619155215316,31.935653078273845,0.7396878010421074,1.4016726962847723,34,48
10,143.23636363636365,278.05454545454546,55.0,139,275,148,282,8.368283871884005,0.873015873015873,0.9649122807017544,9.466444985300368,7.487530537844741,0.6118745224308014,-0.03218296997011474,9,7
11,145.2533013205282,232.60984393757502,833.0,132,213,159,252,32.56698544176895,0.7910731244064577,0.9719953325554259,39.36647924174521,27.293600497119872,0.7206290386625827,-1.450232374515104,27,39
12,167.5703125,165.15625,768.0,149,152,188,185,31.270560761786875,0.5967365967365967,0.9142857142857143,38.761428802623456,26.954410473055905,0.7186300452759875,-0.5195718974309457,39,33
13,177.13627489262007,590.2581023037876,2561.0,152,554,206,624,57.10312140388432,0.6775132275132275,0.9289082335872325,74.41317985545791,45.91449793121079,0.7869466507360333,-1.0346182746341366,54,70
14,171.0849315068493,534.4849315068493,365.0,162,520,182,547,21.557653718072718,0.6759259259259259,0.9335038363171355,27.079495661648924,17.909543014799993,0.7500605629424355,-1.3775170507665957,20,27
15,171.48910411622276,655.1662631154156,1239.0,148,635,190,673,39.71830555206083,0.7763157894736842,0.9612102404965089,45.2435244492122,36.80204395311175,0.5816750633757846,-0.5443922978746831,42,38
16,183.20967741935485,315.39032258064515,310.0,172,307,194,325,19.867165345562018,0.7828282828282829,0.9451219512195121,21.798293254665975,18.51354677811175,0.5278915956346857,-0.2075741665242598,22,18
17,189.3810408921933,213.63382899628252,538.0,169,204,209,223,26.17255958188877,0.7078947368421052,0.96415770609319,39.52969254479482,17.443645214612257,0.8973696855653602,-0.2050046703792136,40,19
18,199.00587969244685,495.99366802351875,2211.0,160,479,247,517,53.05782348918437,0.6687840290381125,0.9501504082509669,87.98250820282983,32.880492802684905,0.9275430806312193,-0.2181949757873777,87,38
19,193.3305439330544,192.7489539748954,478.0,178,183,209,204,24.669991941291908,0.7342549923195084,0.9637096774193549,29.930545075659452,20.49145336350968,0.728887503057158,-0.10739772116151773,31,21
20,196.7287853577371,432.8485856905158,601.0,182,420,213,446,27.66255531193445,0.7456575682382134,0.9677938808373591,32.04844290846626,23.93194366822443,0.6651129270943623,-0.42204476199797564,31,26
21,210.03086419753086,599.8112874779541,1134.0,192,578,228,623,37.99807421080277,0.7,0.9287469287469288,45.48127625014283,32.85440123179968,0.6915046420441595,-1.3191475120699003,36,45
22,226.91307247665628,647.7834593152512,4498.0,189,608,271,691,75.67715290772217,0.6608874522480165,0.895480788373482,84.35098668576622,70.89414872118694,0.541864057516279,-0.7822924752508952,82,83
23,219.40706319702602,328.270136307311,1614.0,190,311,248,347,45.332202959955,0.7729885057471264,0.9740494870247435,58.08612364752308,35.65214787048319,0.7894764850714131,-0.07396633391412337,58,36
24,221.02592592592592,709.1555555555556,270.0,210,695,232,720,18.5411616971131,0.4909090909090909,0.8181818181818182,28.492676183973597,14.103553795550079,0.8688993902231608,1.0063137528665271,22,25
25,226.73893805309734,531.8682399213372,2034.0,190,507,262,556,50.88977533838523,0.576530612244898,0.8740868070477009,72.15793853071098,41.50925267548779,0.8179737667798276,-0.26967314525633485,72,49
26,253.84170112226818,729.066154754873,1693.0,227,706,282,751,46.42838085951986,0.684040404040404,0.9171180931744312,57.326091300836865,38.853575565066045,0.7352792765917999,0.35345182414932735,55,45
27,253.72242647058823,464.8658088235294,544.0,236,456,273,475,26.318098569918163,0.7738264580369844,0.9662522202486679,36.49911402567396,19.004635195258658,0.8537472978392313,-0.0920941499694641,37,19
28,266.987582781457,673.5711920529801,1208.0,245,659,294,690,39.21827851958926,0.7952600394996708,0.9534333070244673,50.5005888698327,31.12808952129943,0.7874405360275601,-0.3097524961101484,49,31
29,262.59768637532136,266.58997429305913,778.0,243,253,280,281,31.473486711896992,0.750965250965251,0.9640644361833953,36.732436652336,27.306479688994965,0.6688596158676988,-0.17072943259494627,37,28
