label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
1,13.495327102803738,226.6760124610592,359.8847352024922,321.0,10,220,357,17,236,364,8.495106021481153,0.4094387755102041,0.8514588859416445,7,16,7,13.019198224834971,12.896126712690412,6.04004963281992
2,14.900735294117647,201.24264705882354,332.0514705882353,272.0,12,197,328,18,207,337,8.038779084983904,0.5037037037037037,0.8662420382165605,6,10,9,10.129392807382827,8.963131755835718,7.130964363093284
3,18.64864431253008,243.77410556714264,318.51323600192524,6233.0,8,232,306,29,258,333,22.83316779521448,0.42280558947225616,0.8900471226617164,21,26,27,25.93681457700482,23.318538419220584,21.84671221328149
4,20.148387096774194,267.8516129032258,342.9290322580645,155.0,18,264,340,24,272,347,6.664655293794288,0.46130952380952384,0.8806818181818182,6,8,7,7.818104298361351,7.283094270487616,6.16551666304159
5,21.663823738450603,200.30135039090263,296.14285714285717,1407.0,16,190,290,28,211,303,13.902678881162597,0.42948717948717946,0.9007682458386683,12,21,13,17.78300159196436,17.03392881979614,11.263449800425521
6,21.964912280701753,273.72514619883043,343.32163742690057,171.0,19,271,340,26,278,347,6.886509686455715,0.49854227405247814,0.8465346534653465,7,7,7,7.962517279680538,7.350182862467721,6.335471033271832
7,23.220793140407288,164.41586280814576,304.0353697749196,933.0,18,157,299,29,173,310,12.123490425407475,0.4819214876033058,0.9111328125,11,16,11,13.894932547827699,13.617780123827913,10.532814216448719
8,26.774193548387096,275.92793411118737,312.94783802333563,2914.0,17,266,306,37,286,321,17.72135701768004,0.4856666666666667,0.9163522012578617,20,20,15,20.267905330685466,18.43305125574751,16.250649784596565
9,28.34416826003824,156.80879541108987,318.51051625239006,523.0,24,151,315,35,164,323,9.996186622148898,0.4571678321678322,0.8909710391822828,11,13,8,11.70960479069491,11.42534852836668,8.51606093207684
10,28.349514563106798,218.58700522778193,276.05414488424196,2678.0,21,207,269,36,232,283,17.22941969194488,0.510095238095238,0.9074889867841409,15,25,14,21.96666183650256,20.980651328898762,14.113791361727936
11,33.228122662677634,303.9618548990277,333.39940164547494,1337.0,25,297,328,42,312,340,13.668187515865263,0.4369281045751634,0.8901464713715047,17,15,12,15.453335274484017,14.652856020633736,12.269679449112633
