label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
1,13.469208211143695,226.75366568914956,359.9120234604106,341.0,10,220,357,17,236,364,8.66799367132167,0.43494897959183676,0.8589420654911839,7,16,7,13.156408396209176,13.049876533697185,6.19710309577057
2,14.818815331010454,201.23693379790942,332.10104529616723,287.0,12,197,328,18,207,337,8.183914650028193,0.5314814814814814,0.9053627760252366,6,10,9,10.019019353572205,9.061158270590855,7.190159675548593
3,18.621406727828745,243.76483180428136,318.52339449541284,6540.0,8,232,306,30,258,333,23.202050907333987,0.4234654234654235,0.8890701468189234,22,26,27,26.067201248355392,23.6554270998106,22.243286423281724
4,21.14121037463977,270.97982708933716,343.1556195965418,347.0,18,264,340,26,278,347,8.718537050795467,0.44260204081632654,0.8631840796019901,8,14,7,12.456357876385091,12.218857705389349,6.4871047340967545
5,21.65762711864407,200.32474576271187,296.14983050847457,1475.0,16,190,290,28,211,303,14.123135722172746,0.45024420024420025,0.899390243902439,12,21,13,17.807302348210353,17.080687315549007,11.52433304539276
6,23.162244897959184,164.43571428571428,304.0459183673469,980.0,18,157,299,29,173,310,12.323738786715063,0.506198347107438,0.906567992599445,11,16,11,13.955276651890339,13.740018055432543,10.7643899393645
7,26.76030333003627,275.9409825255523,312.95186284207057,3033.0,17,266,306,37,286,321,17.959376813449943,0.5055,0.9232876712328767,20,20,15,20.548679457857656,18.640589259852767,16.503082746733014
8,28.2478184991274,156.80802792321117,318.5200698080279,573.0,23,151,315,35,164,323,10.30509500246006,0.45913461538461536,0.889751552795031,12,13,8,12.113866923155541,11.684683925495204,8.812193098896703
9,28.305259417199714,218.55543710021323,276.02487562189054,2814.0,21,207,269,36,232,283,17.51627777230566,0.536,0.9136363636363637,15,25,14,22.277702426170254,21.15980399843974,14.432255555309897
10,33.236953455571225,303.9732016925247,333.43864598025385,1418.0,25,297,328,42,312,340,13.93881549638138,0.46339869281045754,0.8963337547408344,17,15,12,15.825300475074544,14.952082833046013,12.497434967788687
11,35.073579739904176,139.0965092402464,269.89630390143736,2922.0,23,130,262,51,146,281,17.737559410264193,0.34328007518796994,0.7250620347394541,28,16,19,23.86882209256431,23.31179731384218,14.996414518141377
12,33.94589244473771,211.76179478719894,256.5991421972946,3031.0,24,203,249,44,222,265,17.955428395863436,0.49851973684210527,0.9221174323090965,20,19,16,20.02494596390472,18.223710719914635,16.872506520988978
13,36.386491557223266,295.3658536585366,342.7598499061914,533.0,30,291,339,42,303,348,10.05949538135948,0.4112654320987654,0.8393700787401575,12,12,9,12.055400171276268,11.248891153220441,9.354315064336859
14,39.28686327077748,135.7817694369973,275.15227882037533,1865.0,24,130,268,51,146,282,15.271911708680591,0.3083664021164021,0.6816520467836257,27,16,14,22.249191871199066,21.028918353947475,13.054084096293867
15,40.10794896957802,318.59077526987244,327.8596663395486,1019.0,33,313,322,47,325,335,12.485095075327347,0.4665750915750916,0.9106344950848972,14,12,13,14.072351595245717,13.499304283252735,11.19112857421872
16,43.373333333333335,209.2326436781609,229.58758620689656,6525.0,30,199,220,59,220,239,23.18429875739848,0.5639097744360902,0.9366925064599483,29,21,19,26.679431858583367,25.76654684569594,20.274452972883132
17,44.84919028340081,317.3982793522267,302.1411943319838,1976.0,37,308,295,54,327,310,15.569073634091014,0.40784313725490196,0.9131238447319778,17,19,15,19.3292083828685,17.60829613821973,13.486980205090491
18,42.75855467815267,180.89351519502273,229.81239530988276,4179.0,32,170,222,54,193,239,19.98440625005164,0.48581725180190655,0.9178563584449814,22,23,17,23.73130794604795,21.144612353233942,18.200720645557528
19,43.994263862332694,299.4091778202677,343.2963671128107,523.0,39,293,339,52,305,348,9.996186622148898,0.37250712250712253,0.7579710144927536,13,12,9,11.950579921392498,11.547978202658395,9.371409726228878
20,47.372359154929576,138.44014084507043,257.7367957746479,1136.0,40,133,250,58,146,265,12.945730735881487,0.32364672364672364,0.7932960893854749,18,13,15,15.17574773443324,13.890284446233021,12.245653829409477
21,46.17629179331307,273.39209726443767,249.68693009118542,329.0,43,269,246,51,279,255,8.565099750899904,0.45694444444444443,0.9038461538461539,8,10,9,10.163792513753279,9.305898690593047,7.555482222730913
22,48.37987152034261,229.27580299785868,225.18929336188438,2335.0,39,222,216,58,237,234,16.459984460312715,0.4551656920077973,0.9225602528644804,19,15,18,18.320657719943743,17.76448601339326,14.845508453468394
23,49.21159420289855,258.3743961352657,232.11787439613528,2070.0,40,250,227,58,268,238,15.812137213625054,0.5808080808080808,0.92,18,18,11,18.777830945200943,16.114896702217365,14.905396163585657
24,51.23861566484517,298.0346083788707,340.2768670309654,549.0,44,293,334,61,304,347,10.159162506559955,0.2258329905388729,0.7029449423815621,17,11,13,12.700679205180316,11.778497342566883,9.208958742449635
25,55.892405063291136,149.8523206751055,233.89820675105486,3792.0,42,143,225,73,159,244,19.347427835675933,0.40237691001697795,0.8863955119214586,31,16,19,26.187871816692702,24.2321969268741,16.02782236066424
26,55.14351425942962,126.25482980680773,298.5998160073597,1087.0,46,122,293,65,131,305,12.756855629131007,0.5297270955165692,0.9103852596314908,19,9,12,15.943252986864572,14.719772567395829,10.805426532246027
27,59.53117347899793,175.8658881145225,204.66321341118854,5309.0,45,166,193,75,187,216,21.644025371262163,0.36639061421670116,0.8955802968960864,30,21,23,26.82870091413797,25.90041708138795,18.025200798064642
28,57.18119975262832,268.6765615337044,218.36425479282622,1617.0,48,259,210,71,276,225,14.562540041969108,0.27570332480818416,0.6933962264150944,23,17,15,18.21578950841505,17.831684152084378,13.180246063742091
29,60.538056206088996,346.3466042154567,310.48185011709603,1708.0,50,341,303,72,352,318,14.830748880903583,0.47052341597796143,0.9061007957559681,22,11,15,18.634182530782944,16.416819892608025,13.27416435712947
30,60.20990873533246,141.14732724902217,316.95958279009125,767.0,52,137,313,69,147,322,11.357051118037846,0.5013071895424837,0.9002347417840375,17,10,9,13.904525927562633,13.50619914394513,9.35071602845091
31,60.2227602905569,332.44309927360774,336.3123486682809,413.0,55,328,332,66,338,341,9.239542691004052,0.4171717171717172,0.8805970149253731,11,10,9,11.235137272403813,9.383757689209304,8.83306976483481
32,64.24024024024024,137.25096525096524,248.74453024453024,4662.0,49,129,240,83,145,262,20.726432146360256,0.3895387700534759,0.7900355871886121,34,16,22,27.726608133159537,27.195073636197815,16.699674181359345
33,60.191650853889946,218.0246679316888,197.1337760910816,1054.0,52,213,190,69,225,203,12.626432543208512,0.3974358974358974,0.8107692307692308,17,12,13,15.619841362160674,15.026515168347043,10.957576024644961
34,61.10579710144928,210.0768115942029,196.45652173913044,1380.0,51,204,190,69,217,203,13.8131741755527,0.4536489151873767,0.8348457350272233,18,13,13,16.217993701420358,16.056626611836815,12.389184756848758
35,60.087680355160934,288.58712541620423,331.7746947835738,1802.0,49,275,325,75,300,341,15.097975679127671,0.17326923076923076,0.658625730994152,26,25,16,21.449810670480296,18.083065316312386,15.194096829547245
36,62.3490675990676,264.4632867132867,214.32983682983684,1716.0,49,258,209,72,275,224,14.853867778624705,0.2925831202046036,0.6831210191082803,23,17,15,19.17339844350331,18.537922931406822,13.693539030262434
37,68.92887249736565,279.8097997892518,327.75553213909376,1898.0,55,265,322,80,294,335,15.361461211975403,0.2013793103448276,0.6085283744789997,25,29,13,25.554390153675016,22.90177918144795,15.012397899581538
38,68.0751269035533,222.2947546531303,185.8020304568528,2955.0,58,211,178,79,232,195,17.804083440172843,0.3941576630652261,0.8865886588658866,21,21,17,20.52860327095465,17.98381721841644,17.020836442977735
39,70.28850471486304,351.3251010327795,290.4272563987427,4454.0,57,343,281,86,360,300,20.41348701114539,0.47549909255898365,0.9181612038754896,29,17,19,25.494924703775055,23.550753076916887,17.433244689827927
40,70.48360655737704,133.14754098360655,295.0450819672131,244.0,66,129,292,75,138,299,7.7528920091153255,0.43033509700176364,0.8872727272727273,9,9,7,9.291240242029378,8.774998794950285,6.625389010077312
41,71.37169312169313,306.74029982363317,232.13359788359787,2268.0,61,300,225,83,314,240,16.30102108999662,0.4909090909090909,0.92157659488013,22,14,15,19.060645433721945,18.034259594251324,14.16564711398396
42,75.72806171648988,335.90421086467376,261.600450016072,3111.0,65,327,254,86,345,271,18.11203003101273,0.48412698412698413,0.9215047393364929,21,18,17,21.185670340559966,18.431207508334552,17.08602102584767
43,74.8768636112645,275.8376587520707,312.8696852567642,1811.0,68,266,306,80,285,321,15.123069313688337,0.5295321637426901,0.9055,12,19,15,17.56032531918661,16.420786390286867,13.943366322517026
44,76.26143790849673,346.8022875816994,319.39869281045753,612.0,69,343,315,84,352,325,10.533780553459017,0.4533333333333333,0.8693181818181818,15,9,10,12.719145792537565,11.70892819316656,9.211335392218844
45,79.79276517473943,215.2176578786021,170.89086450030655,1631.0,70,208,165,89,225,181,14.60444686304428,0.3155959752321981,0.8530334728033473,19,17,16,19.063871229423626,17.96292635176048,12.24267969269436
46,82.29101168883514,190.1488311164853,172.72370012091898,9924.0,66,175,151,97,205,190,26.662203841686512,0.2736145574855252,0.8047356470969834,31,30,39,36.85310777912766,32.51280819756796,24.83812508902035
47,82.274609375,159.851171875,207.60703125,2560.0,72,150,199,95,168,217,16.972550687152882,0.3435319377348363,0.8202499198974688,23,18,18,20.543646736001737,19.027601212974627,14.99980932226347
48,87.64560615779345,275.1093649775497,312.8662604233483,3118.0,80,266,306,101,285,320,18.125604362669645,0.5581811672037236,0.9329742669060442,21,19,14,21.496935202343195,19.07234936467525,17.1490789728513
49,82.91649694501018,143.9152749490835,258.7979633401222,2455.0,74,137,249,98,152,270,16.737257255317303,0.3247354497354497,0.7516840171463564,24,15,21,19.79541933452061,17.23187542229711,16.761492232576728
50,83.09498295177788,150.76278616658547,292.53287871407696,2053.0,73,144,286,94,160,299,15.768732129684677,0.4700091575091575,0.9124444444444444,21,16,13,19.13487192925423,17.493390406954948,13.794664718479982
51,84.48718442859897,164.99710926960879,192.4237810753517,5189.0,71,151,179,98,180,204,21.47970682738344,0.2650830140485313,0.7537768739105172,27,29,25,27.62873226687822,25.338202292494266,19.26005105985131
52,87.52010856155934,152.89267209474463,175.21317542561067,4053.0,76,145,165,98,166,186,19.78150486309284,0.41774891774891776,0.8905735003295979,22,21,21,21.417646256403874,20.422797197553717,19.170770240234802
53,88.77439024390245,165.03658536585365,149.8201219512195,328.0,86,160,144,92,170,155,8.556413031196804,0.49696969696969695,0.9507246376811594,6,10,11,10.829413396556706,10.517418958555949,6.974777701423661
54,87.90465465465465,339.91291291291293,310.0765765765766,1332.0,79,334,305,98,346,316,13.651127853209452,0.5311004784688995,0.9269311064718163,19,12,11,15.869747327169629,15.262368857447868,11.808052716122887
55,89.68240850059031,362.56198347107437,278.7609208972845,1694.0,79,358,272,101,368,287,14.790116488581807,0.5133333333333333,0.9186550976138829,22,10,15,18.529076779921986,16.769679213932047,12.793434157487601
56,92.2102519548219,145.50217202432668,261.8019113814075,1151.0,88,138,252,100,153,270,13.00246121839074,0.3552469135802469,0.8145789101203114,12,15,18,15.291838179432439,14.66269283698737,12.178267714236231
57,90.68861305990286,157.04964921748515,219.41770102536427,1853.0,78,148,206,105,165,226,15.239086434536693,0.20185185185185187,0.6164337990685296,27,17,20,18.860985761768468,18.157163540501084,14.538541969954816
58,92.9,150.1504424778761,148.35309734513274,1130.0,86,145,141,100,156,157,12.92289871188671,0.4586038961038961,0.9292763157894737,14,11,16,14.674020530578519,13.805162781148038,11.65610323181295
59,94.6766497461929,157.42131979695432,232.62893401015228,3940.0,77,151,225,116,167,246,19.595929417566765,0.30067155067155066,0.6637466307277629,39,16,21,30.14096004834577,27.489270550136368,18.508206608593515
60,93.76297686053783,174.13883677298313,134.68855534709192,1599.0,86,166,124,102,187,145,14.508302891275067,0.2266156462585034,0.723202170963365,16,21,21,21.206669111251227,20.855720506578773,11.9477546293485
61,92.28993288590604,194.28993288590604,145.4738255033557,745.0,88,186,141,98,203,152,11.247410607319685,0.3983957219251337,0.8533791523482245,10,17,11,15.372036290572243,15.121682633615967,8.763178508895212
62,93.46404793608522,137.1264980026631,141.00532623169107,1502.0,86,130,134,102,145,149,14.208790256507218,0.4172222222222222,0.8697162709901564,16,15,15,15.183635640201715,14.261200433045147,14.007674193437309
63,94.65116279069767,146.67774086378736,129.14617940199335,602.0,90,141,124,99,154,136,10.476091661039765,0.4287749287749288,0.9052631578947369,9,13,12,13.513452486082905,13.116276340284365,8.393151024637225
64,96.36388140161725,154.40700808625337,261.9083557951482,371.0,91,151,258,102,159,267,8.915076942846547,0.4684343434343434,0.8939759036144578,11,8,9,10.06768421330563,9.212801258593695,8.24052734900851
65,91.9481069631983,233.44135557320624,153.37145882975906,3777.0,82,225,142,100,243,163,19.321883274895658,0.5551146384479718,0.9241497430878395,18,18,21,21.239501080467452,20.19053746167863,18.753507918648403
66,95.9906976744186,359.31627906976746,261.2325581395349,215.0,92,357,258,101,363,266,7.432700144648346,0.4976851851851852,0.8739837398373984,9,6,8,8.876778759350692,7.798045556432783,6.806797686234736
67,97.45284697508897,126.50533807829181,136.96975088967972,1124.0,91,120,131,105,134,144,12.89998572284437,0.4411302982731554,0.8878357030015798,14,14,13,13.462137866635596,13.316418339302423,12.415969924007715
68,101.17250965250965,139.6730501930502,198.44942084942085,6475.0,86,131,187,124,156,215,23.12492769402643,0.24342105263157895,0.7392396392282224,38,25,28,32.73675418741382,31.245640847497103,19.994914261610383
69,96.39863130881095,183.29769033361848,282.34987168520104,1169.0,88,177,278,106,192,288,13.069890917983956,0.43296296296296294,0.8944146901300689,18,15,10,16.189073215353083,14.151060282167869,11.934274642268052
70,99.50174868848363,121.1961029228079,164.86485136147888,8006.0,87,110,153,114,140,178,24.82022159065464,0.395358024691358,0.8984401301761867,27,30,25,29.27150134137027,27.164097166796672,22.33068328120676
